year,World Population (Spline Interpolation until 1950)
1501,462473770.7
1502,463586217.5
1503,464704758.6
1504,465829151.6
1505,466959151.9
1506,468094512
1507,469234981.9
1508,470380308.9
1509,471530237.6
1510,472684509.9
1511,473842864.8
1512,475005038.7
1513,476170765.1
1514,477339774.6
1515,478511795
1516,479686551.3
1517,480863765.5
1518,482043156.7
1519,483224441.1
1520,484407331.9
1521,485591539.4
1522,486776771
1523,487962730.9
1524,489149120.5
1525,490335638.3
1526,491521979.6
1527,492707836.8
1528,493892899.4
1529,495076853.9
1530,496259383.6
1531,497440169.1
1532,498618887.9
1533,499795214.6
1534,500968821
1535,502139375.7
1536,503306544.7
1537,504469990.8
1538,505629374.3
1539,506784352.5
1540,507934579.8
1541,509079708.1
1542,510219386.2
1543,511353260.7
1544,512480975
1545,513602170.3
1546,514716485.1
1547,515823555.2
1548,516923014.1
1549,518014492.9
1550,519097620.2
1551,520172022.5
1552,521237323.6
1553,522293145.6
1554,523339108.2
1555,524374829.1
1556,525399924
1557,526414006.7
1558,527416689.1
1559,528407581.4
1560,529386292.2
1561,530352428.2
1562,531305594.9
1563,532245396.3
1564,533171435
1565,534083312.5
1566,534980629
1567,535862983.7
1568,536729975.1
1569,537581200.7
1570,538416257.2
1571,539234740.9
1572,540036247.6
1573,540820372.7
1574,541586711.3
1575,542334858.5
1576,543064409.5
1577,543774959.4
1578,544466103.7
1579,545137438.4
1580,545788560
1581,546419065.7
1582,547028553.6
1583,547616622.6
1584,548182872.9
1585,548726906
1586,549248324.8
1587,549746733.8
1588,550221739.2
1589,550672949.3
1590,551099974.1
1591,551502426.4
1592,551879920.8
1593,552232075
1594,552558509.2
1595,552858846.5
1596,553132713.2
1597,553379738.8
1598,553599556.2
1599,553791802.2
1600,553956117
1601,554092373.8
1602,554201364.5
1603,554284115.1
1604,554341655.9
1605,554375021.6
1606,554385250.5
1607,554373384.2
1608,554340466.8
1609,554287545
1610,554215667.5
1611,554125884.3
1612,554019246.6
1613,553896806.8
1614,553759617.4
1615,553608731.3
1616,553445201.2
1617,553270079.8
1618,553084418.8
1619,552889269.5
1620,552685681.8
1621,552474704.8
1622,552257386.2
1623,552034772
1624,551807906.8
1625,551577833.7
1626,551345593.8
1627,551112226.4
1628,550878769.2
1629,550646257.8
1630,550415726.1
1631,550188206.2
1632,549964728.5
1633,549746321.5
1634,549534012.4
1635,549328826.6
1636,549131788.4
1637,548943920.9
1638,548766245.8
1639,548599784.5
1640,548445557.3
1641,548304584.4
1642,548177885.6
1643,548066481.1
1644,547971391.2
1645,547893637.2
1646,547834241.2
1647,547794226.9
1648,547774619.6
1649,547776446.9
1650,547800739
1651,547848528.8
1652,547920853.1
1653,548018752.3
1654,548143271.3
1655,548295460.2
1656,548476374.2
1657,548687074.9
1658,548928630.3
1659,549202115.8
1660,549508614.6
1661,549849218.5
1662,550225028.5
1663,550637155.6
1664,551086721.3
1665,551574858.7
1666,552102713.1
1667,552671442.6
1668,553282219.6
1669,553936230.8
1670,554634678.8
1671,555378782.8
1672,556169779.4
1673,557008923.9
1674,557897491
1675,558836776.4
1676,559828097.3
1677,560872793.9
1678,561972230.4
1679,563127796.6
1680,564340908.7
1681,565613010.9
1682,566945576.7
1683,568340110.3
1684,569798148
1685,571321259.9
1686,572911051.4
1687,574569164.6
1688,576297280.4
1689,578097119.8
1690,579970446.3
1691,581919066.9
1692,583944835.2
1693,586049652.2
1694,588235469.6
1695,590504290.9
1696,592858174.6
1697,595299235.8
1698,597829649.3
1699,600451651.7
1700,603167544.1
1701,605979000.7
1702,608884959.9
1703,611883658.7
1704,614973316.6
1705,618152131.8
1706,621418276.9
1707,624769895.6
1708,628205098.8
1709,631721960.8
1710,635318515.7
1711,638992753.8
1712,642742618.1
1713,646566001.1
1714,650460740.7
1715,654424617.7
1716,658455351.9
1717,662550599.2
1718,666707948.3
1719,670924917.9
1720,675198953.4
1721,679527424.4
1722,683907621.7
1723,688336754.4
1724,692811948
1725,697330241.2
1726,701888584.3
1727,706483836.4
